,title,release_date,genres,mpaa,budget_cost,total_gross,runtime
0,Finding Dory,"Jun 17, 2016","['Adventure', 'Animation', 'Comedy', 'Family']",PG,,"{'domestic_gross': 486295561, 'worldwide_gross': 1028570889}",1 hr 37 min
1,Rogue One: A Star Wars Story,"Dec 16, 2016","['Action', 'Adventure', 'Sci-Fi']",PG-13,"$200,000,000","{'domestic_gross': 532177324, 'worldwide_gross': 1056057273}",2 hr 13 min
2,Captain America: Civil War,"May 6, 2016","['Action', 'Adventure', 'Sci-Fi']",PG-13,"$250,000,000","{'domestic_gross': 408084349, 'worldwide_gross': 1153296293}",2 hr 27 min
3,The Secret Life of Pets,"Jul 8, 2016","['Adventure', 'Animation', 'Comedy', 'Family']",PG,"$75,000,000","{'domestic_gross': 368384330, 'worldwide_gross': 875457937}",1 hr 27 min
4,The Jungle Book,"Apr 15, 2016","['Adventure', 'Drama', 'Family', 'Fantasy']",PG,"$175,000,000","{'domestic_gross': 364001123, 'worldwide_gross': 966550600}",1 hr 46 min
5,Deadpool,"Feb 12, 2016","['Action', 'Adventure', 'Comedy', 'Sci-Fi']",R,"$58,000,000","{'domestic_gross': 363070709, 'worldwide_gross': 782612155}",1 hr 48 min
6,Zootopia,"Mar 4, 2016","['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Mystery']",PG,,"{'domestic_gross': 341268248, 'worldwide_gross': 1023784195}",1 hr 48 min
7,Batman v Superman: Dawn of Justice,"Mar 25, 2016","['Action', 'Adventure', 'Sci-Fi']",PG-13,"$250,000,000","{'domestic_gross': 330360194, 'worldwide_gross': 873634919}",2 hr 32 min
8,Suicide Squad,"Aug 5, 2016","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",PG-13,"$175,000,000","{'domestic_gross': 325100054, 'worldwide_gross': 746846894}",2 hr 3 min
9,Star Wars: Episode VII - The Force Awakens,"Dec 18, 2015","['Action', 'Adventure', 'Sci-Fi']",PG-13,"$245,000,000","{'domestic_gross': 936662225, 'worldwide_gross': 2068223624}",2 hr 18 min
10,Doctor Strange,"Nov 4, 2016","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",PG-13,"$165,000,000","{'domestic_gross': 232641920, 'worldwide_gross': 677718395}",1 hr 55 min
11,Fantastic Beasts and Where to Find Them,"Nov 18, 2016","['Adventure', 'Family', 'Fantasy']",PG-13,"$180,000,000","{'domestic_gross': 234037575, 'worldwide_gross': 814037575}",2 hr 12 min
12,Moana,"Nov 23, 2016","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",PG,,"{'domestic_gross': 248757044, 'worldwide_gross': 643331111}",1 hr 47 min
13,The Revenant,"Dec 25, 2015","['Action', 'Adventure', 'Drama', 'History', 'Western']",R,"$135,000,000","{'domestic_gross': 183637894, 'worldwide_gross': 532950503}",2 hr 36 min
14,Jason Bourne,"Jul 29, 2016","['Action', 'Thriller']",PG-13,"$120,000,000","{'domestic_gross': 162434410, 'worldwide_gross': 415484914}",2 hr 3 min
15,Star Trek Beyond,"Jul 22, 2016","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",PG-13,"$185,000,000","{'domestic_gross': 158848340, 'worldwide_gross': 343471816}",2 hr 2 min
16,X-Men: Apocalypse,"May 27, 2016","['Action', 'Adventure', 'Sci-Fi']",PG-13,"$178,000,000","{'domestic_gross': 155442489, 'worldwide_gross': 543934105}",2 hr 24 min
17,Sing,"Dec 21, 2016","['Animation', 'Comedy', 'Family', 'Musical']",PG,"$75,000,000","{'domestic_gross': 270395425, 'worldwide_gross': 634151679}",1 hr 48 min
18,Trolls,"Nov 4, 2016","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",PG,"$125,000,000","{'domestic_gross': 153707064, 'worldwide_gross': 346864462}",1 hr 32 min
19,Kung Fu Panda 3,"Jan 29, 2016","['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",PG,"$145,000,000","{'domestic_gross': 143528619, 'worldwide_gross': 521170825}",1 hr 35 min
20,Ghostbusters,"Jul 15, 2016","['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",PG-13,"$144,000,000","{'domestic_gross': 128350574, 'worldwide_gross': 229147509}",1 hr 57 min
21,Central Intelligence,"Jun 17, 2016","['Action', 'Comedy', 'Crime']",PG-13,"$50,000,000","{'domestic_gross': 127440871, 'worldwide_gross': 216972543}",1 hr 47 min
22,The Legend of Tarzan,"Jul 1, 2016","['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",PG-13,"$180,000,000","{'domestic_gross': 126643061, 'worldwide_gross': 356700357}",1 hr 50 min
23,Sully,"Sep 9, 2016","['Biography', 'Drama']",PG-13,"$60,000,000","{'domestic_gross': 125070033, 'worldwide_gross': 240797623}",1 hr 36 min
24,Bad Moms,"Jul 29, 2016",['Comedy'],R,"$20,000,000","{'domestic_gross': 113257297, 'worldwide_gross': 183936074}",1 hr 40 min
25,The Angry Birds Movie,"May 20, 2016","['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",PG,"$73,000,000","{'domestic_gross': 107509366, 'worldwide_gross': 352333929}",1 hr 37 min
26,Independence Day: Resurgence,"Jun 24, 2016","['Action', 'Adventure', 'Sci-Fi']",PG-13,"$165,000,000","{'domestic_gross': 103144286, 'worldwide_gross': 389681935}",2 hr
27,The Conjuring 2,"Jun 10, 2016","['Horror', 'Mystery', 'Thriller']",R,"$40,000,000","{'domestic_gross': 102470008, 'worldwide_gross': 320392818}",2 hr 14 min
28,Sausage Party,"Aug 12, 2016","['Adventure', 'Animation', 'Comedy', 'Fantasy']",R,"$19,000,000","{'domestic_gross': 97685686, 'worldwide_gross': 140705322}",1 hr 29 min
29,The Magnificent Seven,"Sep 23, 2016","['Action', 'Adventure', 'Western']",PG-13,"$90,000,000","{'domestic_gross': 93432655, 'worldwide_gross': 162360636}",2 hr 12 min
30,Arrival,"Nov 11, 2016","['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",PG-13,"$47,000,000","{'domestic_gross': 100546139, 'worldwide_gross': 203388186}",1 hr 56 min
31,Ride Along 2,"Jan 15, 2016","['Action', 'Comedy', 'Crime']",PG-13,"$40,000,000","{'domestic_gross': 91221830, 'worldwide_gross': 124605297}",1 hr 42 min
32,Don't Breathe,"Aug 26, 2016","['Crime', 'Horror', 'Thriller']",R,"$9,900,000","{'domestic_gross': 89217875, 'worldwide_gross': 157830487}",1 hr 28 min
33,Miss Peregrine's Home for Peculiar Children,"Sep 30, 2016","['Adventure', 'Drama', 'Family', 'Fantasy', 'Thriller']",PG-13,"$110,000,000","{'domestic_gross': 87242834, 'worldwide_gross': 296482446}",2 hr 7 min
34,The Accountant,"Oct 14, 2016","['Action', 'Crime', 'Drama', 'Thriller']",R,"$44,000,000","{'domestic_gross': 86260045, 'worldwide_gross': 155160045}",2 hr 8 min
35,Daddy's Home,"Dec 25, 2015","['Comedy', 'Family']",PG-13,,"{'domestic_gross': 150357137, 'worldwide_gross': 242786137}",1 hr 36 min
36,Teenage Mutant Ninja Turtles: Out of the Shadows,"Jun 3, 2016","['Action', 'Adventure', 'Comedy', 'Sci-Fi']",PG-13,"$135,000,000","{'domestic_gross': 82051601, 'worldwide_gross': 245623848}",1 hr 52 min
37,The Purge: Election Year,"Jul 1, 2016","['Action', 'Horror', 'Sci-Fi', 'Thriller']",R,"$10,000,000","{'domestic_gross': 79213375, 'worldwide_gross': 118587880}",1 hr 48 min
38,Alice Through the Looking Glass,"May 27, 2016","['Adventure', 'Family', 'Fantasy']",PG,"$170,000,000","{'domestic_gross': 77041381, 'worldwide_gross': 299457024}",1 hr 53 min
39,Pete's Dragon,"Aug 12, 2016","['Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']",PG,"$65,000,000","{'domestic_gross': 76233151, 'worldwide_gross': 143695338}",1 hr 42 min
40,The Girl on the Train,"Oct 7, 2016","['Crime', 'Drama', 'Mystery', 'Thriller']",R,"$45,000,000","{'domestic_gross': 75395035, 'worldwide_gross': 173185859}",1 hr 52 min
41,Tyler Perry's Boo! A Madea Halloween,"Oct 21, 2016","['Comedy', 'Drama', 'Horror']",PG-13,"$20,000,000","{'domestic_gross': 73206343, 'worldwide_gross': 74827344}",1 hr 43 min
42,Storks,"Sep 23, 2016","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",PG,"$70,000,000","{'domestic_gross': 72679278, 'worldwide_gross': 183388953}",1 hr 27 min
43,10 Cloverfield Lane,"Mar 11, 2016","['Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",PG-13,,"{'domestic_gross': 72082998, 'worldwide_gross': 110216998}",1 hr 43 min
44,Lights Out,"Jul 22, 2016","['Drama', 'Horror', 'Mystery', 'Thriller']",PG-13,"$4,900,000","{'domestic_gross': 67268835, 'worldwide_gross': 148868835}",1 hr 21 min
45,Allegiant,"Mar 18, 2016","['Action', 'Adventure', 'Mystery', 'Sci-Fi', 'Thriller']",PG-13,,"{'domestic_gross': 66184051, 'worldwide_gross': 179246868}",2 hr
46,Now You See Me 2,"Jun 10, 2016","['Action', 'Adventure', 'Comedy', 'Crime', 'Mystery', 'Thriller']",PG-13,,"{'domestic_gross': 65075540, 'worldwide_gross': 334897606}",2 hr 9 min
47,Hacksaw Ridge,"Nov 4, 2016","['Biography', 'Drama', 'History', 'War']",R,"$40,000,000","{'domestic_gross': 67209615, 'worldwide_gross': 180450918}",2 hr 19 min
48,Ice Age: Collision Course,"Jul 22, 2016","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance', 'Sci-Fi']",PG,"$105,000,000","{'domestic_gross': 64063008, 'worldwide_gross': 408579038}",1 hr 34 min
49,The Boss,"Apr 8, 2016",['Comedy'],R,"$29,000,000","{'domestic_gross': 63285885, 'worldwide_gross': 78844582}",1 hr 39 min
50,London Has Fallen,"Mar 4, 2016","['Action', 'Thriller']",R,"$60,000,000","{'domestic_gross': 62524260, 'worldwide_gross': 205754447}",1 hr 39 min
51,Miracles from Heaven,"Mar 16, 2016","['Biography', 'Drama', 'Family']",PG,"$13,000,000","{'domestic_gross': 61705123, 'worldwide_gross': 73983003}",1 hr 49 min
52,Deepwater Horizon,"Sep 30, 2016","['Action', 'Drama', 'History', 'Thriller']",PG-13,"$110,000,000","{'domestic_gross': 61433527, 'worldwide_gross': 121790373}",1 hr 47 min
53,My Big Fat Greek Wedding 2,"Mar 25, 2016","['Comedy', 'Romance']",PG-13,,"{'domestic_gross': 59689605, 'worldwide_gross': 90632641}",1 hr 34 min
54,Jack Reacher: Never Go Back,"Oct 21, 2016","['Action', 'Thriller']",PG-13,"$60,000,000","{'domestic_gross': 58697076, 'worldwide_gross': 162146076}",1 hr 58 min
55,Me Before You,"Jun 3, 2016","['Drama', 'Romance']",PG-13,"$20,000,000","{'domestic_gross': 56245075, 'worldwide_gross': 208314186}",1 hr 46 min
56,The BFG,"Jul 1, 2016","['Adventure', 'Family', 'Fantasy']",PG,"$140,000,000","{'domestic_gross': 55483770, 'worldwide_gross': 195243411}",1 hr 57 min
57,Neighbors 2: Sorority Rising,"May 20, 2016",['Comedy'],R,,"{'domestic_gross': 55455765, 'worldwide_gross': 108007109}",1 hr 32 min
58,Passengers,"Dec 21, 2016","['Drama', 'Romance', 'Sci-Fi', 'Thriller']",PG-13,"$110,000,000","{'domestic_gross': 100014699, 'worldwide_gross': 303144152}",1 hr 56 min
59,The Shallows,"Jun 24, 2016","['Drama', 'Horror', 'Thriller']",PG-13,"$17,000,000","{'domestic_gross': 55124043, 'worldwide_gross': 119100758}",1 hr 26 min
60,Barbershop: The Next Cut,"Apr 15, 2016","['Comedy', 'Drama']",PG-13,,"{'domestic_gross': 54030051, 'worldwide_gross': 55030051}",1 hr 51 min
61,13 Hours,"Jan 15, 2016","['Action', 'Drama', 'War']",R,"$50,000,000","{'domestic_gross': 52853219, 'worldwide_gross': 69411370}",2 hr 24 min
62,Office Christmas Party,"Dec 9, 2016",['Comedy'],R,"$45,000,000","{'domestic_gross': 54767494, 'worldwide_gross': 114501299}",1 hr 45 min
63,The Huntsman: Winter's War,"Apr 22, 2016","['Action', 'Adventure', 'Drama', 'Fantasy']",PG-13,"$115,000,000","{'domestic_gross': 48390190, 'worldwide_gross': 164989338}",1 hr 54 min
64,Kubo and the Two Strings,"Aug 19, 2016","['Action', 'Adventure', 'Animation', 'Family', 'Fantasy']",PG,"$60,000,000","{'domestic_gross': 48023088, 'worldwide_gross': 76249438}",1 hr 41 min
65,Warcraft,"Jun 10, 2016","['Action', 'Adventure', 'Fantasy']",PG-13,"$160,000,000","{'domestic_gross': 47365290, 'worldwide_gross': 439048914}",2 hr 3 min
66,How to Be Single,"Feb 12, 2016","['Comedy', 'Drama', 'Romance']",R,"$38,000,000","{'domestic_gross': 46843513, 'worldwide_gross': 112343513}",1 hr 50 min
67,The Big Short,"Dec 11, 2015","['Biography', 'Comedy', 'Drama', 'History']",R,"$28,000,000","{'domestic_gross': 70259870, 'worldwide_gross': 133440870}",2 hr 10 min
68,Mike and Dave Need Wedding Dates,"Jul 8, 2016","['Comedy', 'Romance']",R,"$33,000,000","{'domestic_gross': 46009673, 'worldwide_gross': 77068246}",1 hr 38 min
69,War Dogs,"Aug 19, 2016","['Biography', 'Comedy', 'Crime', 'Drama', 'War']",R,,"{'domestic_gross': 43034523, 'worldwide_gross': 86234523}",1 hr 54 min
70,Almost Christmas,"Nov 11, 2016","['Comedy', 'Drama']",PG-13,"$17,000,000","{'domestic_gross': 42158780, 'worldwide_gross': 42580920}",1 hr 51 min
71,Money Monster,"May 13, 2016","['Crime', 'Drama', 'Thriller']",R,"$27,000,000","{'domestic_gross': 41012075, 'worldwide_gross': 93282604}",1 hr 38 min
72,The Hateful Eight,"Dec 25, 2015","['Crime', 'Drama', 'Mystery', 'Thriller', 'Western']",R,"$44,000,000","{'domestic_gross': 54117416, 'worldwide_gross': 155760117}",2 hr 48 min
73,Allied,"Nov 23, 2016","['Action', 'Drama', 'Romance', 'Thriller', 'War']",R,"$85,000,000","{'domestic_gross': 40098064, 'worldwide_gross': 119520023}",2 hr 4 min
74,Nerve,"Jul 27, 2016","['Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']",PG-13,"$19,000,000","{'domestic_gross': 38583626, 'worldwide_gross': 85251425}",1 hr 36 min
75,Sisters,"Dec 18, 2015",['Comedy'],R,"$30,000,000","{'domestic_gross': 87044645, 'worldwide_gross': 105011053}",1 hr 58 min
76,Risen,"Feb 19, 2016","['Action', 'Drama', 'History', 'Mystery']",PG-13,"$20,000,000","{'domestic_gross': 36880033, 'worldwide_gross': 46432579}",1 hr 47 min
77,Assassin's Creed,"Dec 21, 2016","['Action', 'Adventure', 'Sci-Fi']",PG-13,"$125,000,000","{'domestic_gross': 54647948, 'worldwide_gross': 240697856}",1 hr 55 min
78,The Nice Guys,"May 20, 2016","['Action', 'Comedy', 'Crime', 'Mystery', 'Thriller']",R,"$50,000,000","{'domestic_gross': 36261763, 'worldwide_gross': 62788218}",1 hr 56 min
79,The Boy,"Jan 22, 2016","['Horror', 'Mystery', 'Thriller']",PG-13,"$10,000,000","{'domestic_gross': 35819556, 'worldwide_gross': 64188367}",1 hr 37 min
80,Dirty Grandpa,"Jan 22, 2016",['Comedy'],R,"$25,000,000","{'domestic_gross': 35593113, 'worldwide_gross': 94073028}",1 hr 42 min
81,Ouija: Origin of Evil,"Oct 21, 2016","['Drama', 'Horror', 'Mystery', 'Thriller']",PG-13,"$9,000,000","{'domestic_gross': 35144505, 'worldwide_gross': 81705746}",1 hr 39 min
82,The 5th Wave,"Jan 22, 2016","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",PG-13,"$38,000,000","{'domestic_gross': 34916787, 'worldwide_gross': 109906372}",1 hr 52 min
83,Inferno,"Oct 28, 2016","['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']",PG-13,"$75,000,000","{'domestic_gross': 34343574, 'worldwide_gross': 220021259}",2 hr 1 min
84,Mother's Day,"Apr 29, 2016","['Comedy', 'Drama', 'Romance']",PG-13,"$25,000,000","{'domestic_gross': 32492859, 'worldwide_gross': 48782670}",1 hr 58 min
85,Gods of Egypt,"Feb 26, 2016","['Action', 'Adventure', 'Fantasy']",PG-13,"$140,000,000","{'domestic_gross': 31153464, 'worldwide_gross': 150680864}",2 hr 7 min
86,La La Land,"Dec 9, 2016","['Comedy', 'Drama', 'Music', 'Musical', 'Romance']",PG-13,"$30,000,000","{'domestic_gross': 151101803, 'worldwide_gross': 446486224}",2 hr 8 min
87,Why Him?,"Dec 23, 2016",['Comedy'],R,"$38,000,000","{'domestic_gross': 60323786, 'worldwide_gross': 118102725}",1 hr 51 min
88,"Hail, Caesar!","Feb 5, 2016","['Comedy', 'Drama', 'Music', 'Mystery']",PG-13,"$22,000,000","{'domestic_gross': 30498085, 'worldwide_gross': 63647656}",1 hr 46 min
89,Alvin and the Chipmunks: The Road Chip,"Dec 18, 2015","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Music']",PG,,"{'domestic_gross': 85886987, 'worldwide_gross': 234798636}",1 hr 32 min
90,When the Bough Breaks,"Sep 9, 2016","['Crime', 'Drama', 'Horror', 'Mystery', 'Romance', 'Thriller']",PG-13,"$10,000,000","{'domestic_gross': 29747603, 'worldwide_gross': 30658387}",1 hr 47 min
91,Zoolander 2,"Feb 12, 2016","['Action', 'Adventure', 'Comedy', 'Mystery', 'Romance']",PG-13,,"{'domestic_gross': 28848693, 'worldwide_gross': 56722693}",1 hr 41 min
92,Joy,"Dec 25, 2015","['Biography', 'Drama']",PG-13,"$60,000,000","{'domestic_gross': 56451232, 'worldwide_gross': 101134059}",2 hr 4 min
93,The Finest Hours,"Jan 29, 2016","['Action', 'Drama', 'History', 'Thriller']",PG-13,,"{'domestic_gross': 27569558, 'worldwide_gross': 52099090}",1 hr 57 min
94,Florence Foster Jenkins,"Aug 12, 2016","['Biography', 'Comedy', 'Drama', 'Music']",PG-13,"$29,000,000","{'domestic_gross': 27383770, 'worldwide_gross': 48902953}",1 hr 51 min
95,Manchester by the Sea,"Nov 18, 2016",['Drama'],R,"$9,000,000","{'domestic_gross': 47695371, 'worldwide_gross': 78988148}",2 hr 17 min
96,Hell or High Water,"Aug 12, 2016","['Action', 'Crime', 'Drama', 'Thriller', 'Western']",R,"$12,000,000","{'domestic_gross': 27007844, 'worldwide_gross': 37879877}",1 hr 42 min
97,The Forest,"Jan 8, 2016","['Horror', 'Mystery', 'Thriller']",PG-13,"$10,000,000","{'domestic_gross': 26594261, 'worldwide_gross': 39712000}",1 hr 33 min
98,Ben-Hur,"Aug 19, 2016","['Action', 'Adventure', 'Drama', 'History']",PG-13,"$100,000,000","{'domestic_gross': 26410477, 'worldwide_gross': 94061311}",2 hr 3 min
99,Fences,"Dec 16, 2016",['Drama'],PG-13,"$24,000,000","{'domestic_gross': 57682904, 'worldwide_gross': 64414761}",2 hr 19 min
100,The Witch,"Feb 19, 2016","['Drama', 'Horror', 'Mystery']",R,"$4,000,000","{'domestic_gross': 25138705, 'worldwide_gross': 40423945}",1 hr 32 min
101,Collateral Beauty,"Dec 16, 2016","['Drama', 'Romance']",PG-13,"$36,000,000","{'domestic_gross': 31016021, 'worldwide_gross': 88528280}",1 hr 37 min
102,Bridget Jones's Baby,"Sep 16, 2016","['Comedy', 'Drama', 'Romance']",R,"$35,000,000","{'domestic_gross': 24252420, 'worldwide_gross': 211952420}",2 hr 3 min
103,What Now?,"Oct 14, 2016","['Comedy', 'Documentary']",R,"$9,900,000","{'domestic_gross': 23591043, 'worldwide_gross': 23591043}",1 hr 36 min
104,Whiskey Tango Foxtrot,"Mar 4, 2016","['Biography', 'Comedy', 'Drama', 'War']",R,"$35,000,000","{'domestic_gross': 23083334, 'worldwide_gross': 24972139}",1 hr 52 min
105,Snowden,"Sep 16, 2016","['Biography', 'Crime', 'Drama', 'Thriller']",R,"$40,000,000","{'domestic_gross': 21587519, 'worldwide_gross': 37357216}",2 hr 14 min
106,Mechanic: Resurrection,"Aug 26, 2016","['Action', 'Adventure', 'Thriller']",R,,"{'domestic_gross': 21218403, 'worldwide_gross': 125729635}",1 hr 38 min
107,Free State of Jones,"Jun 24, 2016","['Action', 'Biography', 'Drama', 'History', 'War', 'Western']",R,"$50,000,000","{'domestic_gross': 20810036, 'worldwide_gross': 25035950}",2 hr 19 min
108,Blair Witch,"Sep 16, 2016","['Horror', 'Mystery', 'Thriller']",R,"$5,000,000","{'domestic_gross': 20777061, 'worldwide_gross': 45173154}",1 hr 29 min
109,God's Not Dead 2,"Apr 1, 2016",['Drama'],PG,,"{'domestic_gross': 20774575, 'worldwide_gross': 24487848}",2 hr
110,Keanu,"Apr 29, 2016","['Action', 'Comedy', 'Crime']",R,"$15,000,000","{'domestic_gross': 20591853, 'worldwide_gross': 20651333}",1 hr 40 min
111,Middle School: The Worst Years of My Life,"Oct 7, 2016","['Comedy', 'Family']",PG,"$8,500,000","{'domestic_gross': 20007149, 'worldwide_gross': 23316139}",1 hr 32 min
112,Nine Lives,"Aug 5, 2016","['Comedy', 'Drama', 'Family', 'Fantasy']",PG,"$30,000,000","{'domestic_gross': 19700032, 'worldwide_gross': 57814445}",1 hr 27 min
113,Race,"Feb 19, 2016","['Biography', 'Drama', 'Sport']",PG-13,,"{'domestic_gross': 19206207, 'worldwide_gross': 25070261}",2 hr 14 min
114,Spotlight,"Nov 6, 2015","['Biography', 'Crime', 'Drama']",R,,"{'domestic_gross': 45055776, 'worldwide_gross': 98690254}",2 hr 9 min
115,Brooklyn,"Nov 4, 2015","['Drama', 'Romance']",PG-13,,"{'domestic_gross': 38322743, 'worldwide_gross': 62076141}",1 hr 57 min
116,The Choice,"Feb 5, 2016","['Drama', 'Romance']",PG-13,,"{'domestic_gross': 18730891, 'worldwide_gross': 23064015}",1 hr 51 min
117,Eye in the Sky,"Mar 11, 2016","['Action', 'Drama', 'Thriller', 'War']",R,,"{'domestic_gross': 18704595, 'worldwide_gross': 35259653}",1 hr 42 min
118,Bad Santa 2,"Nov 23, 2016","['Comedy', 'Crime', 'Drama']",R,"$26,000,000","{'domestic_gross': 17782178, 'worldwide_gross': 24079268}",1 hr 32 min
119,Masterminds,"Sep 30, 2016","['Biography', 'Comedy', 'Crime']",PG-13,,"{'domestic_gross': 17368022, 'worldwide_gross': 29674699}",1 hr 35 min
120,Concussion,"Dec 25, 2015","['Biography', 'Drama', 'Sport']",PG-13,"$35,000,000","{'domestic_gross': 34542474, 'worldwide_gross': 48623572}",2 hr 3 min
121,Norm of the North,"Jan 15, 2016","['Adventure', 'Animation', 'Comedy', 'Family']",PG,,"{'domestic_gross': 17062499, 'worldwide_gross': 30734502}",1 hr 30 min
122,The Birth of a Nation,"Oct 7, 2016","['Biography', 'Drama', 'History']",R,"$8,500,000","{'domestic_gross': 15861566, 'worldwide_gross': 16779212}",2 hr
123,Eddie the Eagle,"Feb 26, 2016","['Biography', 'Comedy', 'Drama', 'Family', 'Sport']",PG-13,"$23,000,000","{'domestic_gross': 15789389, 'worldwide_gross': 46152800}",1 hr 46 min
124,The Infiltrator,"Jul 13, 2016","['Biography', 'Crime', 'Drama', 'Thriller']",R,,"{'domestic_gross': 15436808, 'worldwide_gross': 21011110}",2 hr 7 min
125,Keeping Up with the Joneses,"Oct 21, 2016","['Action', 'Comedy']",PG-13,"$40,000,000","{'domestic_gross': 14904426, 'worldwide_gross': 29918745}",1 hr 45 min
126,Criminal,"Apr 15, 2016","['Action', 'Sci-Fi', 'Thriller']",R,,"{'domestic_gross': 14708696, 'worldwide_gross': 38803993}",1 hr 53 min
127,"Hello, My Name Is Doris","Mar 11, 2016","['Comedy', 'Drama', 'Romance']",R,,"{'domestic_gross': 14444999, 'worldwide_gross': 14659448}",1 hr 30 min
128,The Edge of Seventeen,"Nov 18, 2016","['Comedy', 'Drama']",R,"$9,000,000","{'domestic_gross': 14431633, 'worldwide_gross': 19370020}",1 hr 44 min
129,Love & Friendship,"May 13, 2016","['Comedy', 'Drama', 'Romance']",PG,,"{'domestic_gross': 14016568, 'worldwide_gross': 21401949}",1 hr 30 min
130,Point Break,"Dec 25, 2015","['Action', 'Crime', 'Sport', 'Thriller']",PG-13,"$105,000,000","{'domestic_gross': 28782481, 'worldwide_gross': 133718711}",1 hr 54 min
131,Hillary's America: The Secret History of the Democratic Party,"Jul 15, 2016","['Biography', 'Documentary', 'History']",PG-13,,"{'domestic_gross': 13099931, 'worldwide_gross': 13099931}",1 hr 46 min
132,Triple 9,"Feb 26, 2016","['Action', 'Crime', 'Thriller']",R,,"{'domestic_gross': 12639297, 'worldwide_gross': 23177948}",1 hr 55 min
133,The Light Between Oceans,"Sep 2, 2016","['Drama', 'Romance']",PG-13,"$20,000,000","{'domestic_gross': 12545979, 'worldwide_gross': 25975621}",2 hr 13 min
134,Moonlight,"Oct 21, 2016",['Drama'],R,"$4,000,000","{'domestic_gross': 27854932, 'worldwide_gross': 65336603}",1 hr 51 min
135,The Good Dinosaur,"Nov 25, 2015","['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']",PG,,"{'domestic_gross': 123087120, 'worldwide_gross': 332207671}",1 hr 33 min
136,The Hunger Games: Mockingjay - Part 2,"Nov 20, 2015","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",PG-13,"$160,000,000","{'domestic_gross': 281723902, 'worldwide_gross': 658344137}",2 hr 17 min
137,Fifty Shades of Black,"Jan 29, 2016",['Comedy'],R,,"{'domestic_gross': 11686940, 'worldwide_gross': 22227514}",1 hr 32 min
138,No manches Frida,"Sep 2, 2016","['Comedy', 'Romance']",PG-13,,"{'domestic_gross': 11528613, 'worldwide_gross': 23540937}",1 hr 54 min
139,Café Society,"Jul 15, 2016","['Comedy', 'Drama', 'Romance']",PG-13,,"{'domestic_gross': 11103205, 'worldwide_gross': 43763247}",1 hr 36 min
140,Pride and Prejudice and Zombies,"Feb 5, 2016","['Action', 'Comedy', 'Fantasy', 'Horror', 'Romance']",PG-13,"$28,000,000","{'domestic_gross': 10938134, 'worldwide_gross': 16457494}",1 hr 48 min
141,The Darkness,"May 13, 2016","['Horror', 'Thriller']",PG-13,,"{'domestic_gross': 10753574, 'worldwide_gross': 10898293}",1 hr 32 min
142,Creed,"Nov 25, 2015","['Drama', 'Family', 'Sport']",PG-13,"$35,000,000","{'domestic_gross': 109767581, 'worldwide_gross': 173567581}",2 hr 13 min
143,Nocturnal Animals,"Nov 18, 2016","['Drama', 'Thriller']",R,,"{'domestic_gross': 10663357, 'worldwide_gross': 30311857}",1 hr 56 min
144,The Lady in the Van,"Dec 4, 2015","['Biography', 'Comedy', 'Drama']",PG-13,,"{'domestic_gross': 10021175, 'worldwide_gross': 41387687}",1 hr 44 min
145,Room,"Oct 16, 2015","['Drama', 'Thriller']",R,,"{'domestic_gross': 14677654, 'worldwide_gross': 35401758}",1 hr 58 min
146,The Perfect Match,"Mar 11, 2016","['Comedy', 'Romance']",R,,"{'domestic_gross': 9669521, 'worldwide_gross': 10414738}",1 hr 36 min
147,Popstar: Never Stop Never Stopping,"Jun 3, 2016","['Comedy', 'Music']",R,,"{'domestic_gross': 9639125, 'worldwide_gross': 9680029}",1 hr 27 min
148,Hardcore Henry,"Apr 8, 2016","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",R,,"{'domestic_gross': 9252038, 'worldwide_gross': 16810562}",1 hr 36 min
149,Meet the Blacks,"Apr 1, 2016","['Comedy', 'Horror']",R,,"{'domestic_gross': 9097072, 'worldwide_gross': 9097072}",1 hr 34 min
150,Carol,"Nov 20, 2015","['Drama', 'Romance']",R,,"{'domestic_gross': 12711491, 'worldwide_gross': 40272135}",1 hr 58 min
